Вид спорта;Район;Число активированных спортзон по доступности;Удовлетворенность спортзонами
Баскетбол;Обручевский район;200;13.042
Общая физическая подготовка;район Соколиная Гора;321;12.969
Футбол;район Марьино;212;12.916
Общая физическая подготовка;Можайский район;224;12.756
Общая физическая подготовка;Головинский район;335;12.726
Общая физическая подготовка;район Нагатино-Садовники;276;12.698
Общая физическая подготовка;район Хорошёво-Мнёвники;288;12.529
Баскетбол;район Восточное Дегунино;204;12.476
Общая физическая подготовка;Нижегородский район;332;12.448
Футбол;район Силино;92;12.331
Баскетбол;район Чертаново Центральное;199;12.325
Общая физическая подготовка;поселение Мосрентген;206;12.305
Общая физическая подготовка;район Ростокино;386;12.237
Футбол;район Орехово-Борисово Южное;161;12.209
Футбол;район Старое Крюково;90;12.141
Общая физическая подготовка;Хорошёвский район;313;11.961
Баскетбол;Таганский район;190;11.835
Баскетбол;Басманный район;175;11.834
Футбол;район Котловка;195;11.827
Баскетбол;район Отрадное;238;11.780
Общая физическая подготовка;район Коптево;337;11.604
Общая физическая подготовка;район Ново-Переделкино;122;11.590
Баскетбол;район Старое Крюково;90;11.524
Общая физическая подготовка;район Щукино;268;11.500
Футбол;район Орехово-Борисово Северное;135;11.387
Футбол;Гагаринский район;170;11.236
Баскетбол;район Коньково;216;11.137
Баскетбол;Тверской район;182;11.133
Футбол;район Черёмушки;173;11.035
Баскетбол;район Зюзино;232;11.011
Баскетбол;район Текстильщики;220;10.948
Футбол;Алтуфьевский район;170;10.936
Баскетбол;Красносельский район;176;10.899
Общая физическая подготовка;Ярославский район;166;10.813
Футбол;Ломоносовский район;153;10.782
Баскетбол;район Бирюлёво Восточное;130;10.764
Баскетбол;район Бибирево;196;10.755
Общая физическая подготовка;район Строгино;201;10.735
Футбол;район Кузьминки;177;10.730
Воркаут;район Котловка;131;10.710
Баскетбол;район Ясенево;107;10.686
Общая физическая подготовка;район Крылатское;268;10.678
Баскетбол;район Чертаново Северное;228;10.654
Баскетбол;район Проспект Вернадского;196;10.580
Футбол;район Зюзино;216;10.555
Баскетбол;район Силино;94;10.510
Баскетбол;Дмитровский район;155;10.473
Баскетбол;район Западное Дегунино;153;10.458
Баскетбол;район Крюково;72;10.443
Воркаут;район Черёмушки;144;10.443
Баскетбол;Мещанский район;178;10.435
Футбол;район Чертаново Северное;222;10.405
Баскетбол;район Арбат;194;10.332
Футбол;Бескудниковский район;158;10.272
Баскетбол;Савёловский район;190;10.200
Баскетбол;район Беговой;199;10.173
Футбол;район Люблино;210;10.147
Футбол;район Восточное Дегунино;157;10.119
Баскетбол;Донской район;190;10.072
Баскетбол;район Сокол;189;10.002
Баскетбол;Рязанский район;192;10.001
Баскетбол;район Замоскворечье;145;9.985
Баскетбол;район Новогиреево;206;9.919
Баскетбол;район Северное Бутово;131;9.795
Баскетбол;Бабушкинский район;158;9.766
Баскетбол;район Аэропорт;185;9.765
Баскетбол;район Измайлово;164;9.743
Футбол;район Крюково;67;9.703
Баскетбол;район Тропарёво-Никулино;162;9.686
Баскетбол;район Восточное Измайлово;212;9.680
Баскетбол;Пресненский район;179;9.622
Футбол;Таганский район;160;9.600
Баскетбол;Алексеевский район;151;9.581
Баскетбол;район Южное Медведково;171;9.547
Баскетбол;Южнопортовый район;187;9.509
Общая физическая подготовка;район Левобережный;198;9.459
Футбол;Обручевский район;158;9.442
Баскетбол;район Бирюлёво Западное;104;9.428
Баскетбол;Даниловский район;166;9.411
Общая физическая подготовка;район Савёлки;69;9.394
Общая физическая подготовка;район Косино-Ухтомский;244;9.382
Футбол;район Чертаново Южное;150;9.358
Баскетбол;район Якиманка;157;9.346
Футбол;район Отрадное;172;9.332
Баскетбол;район Северное Измайлово;137;9.329
Футбол;Савёловский район;148;9.314
Баскетбол;Нагорный район;181;9.294
Баскетбол;район Выхино-Жулебино;134;9.294
Футбол;район Коньково;160;9.260
Баскетбол;район Ховрино;132;9.243
Баскетбол;район Лианозово;188;9.223
Баскетбол;район Южное Бутово;81;9.162
Футбол;Басманный район;147;9.110
Общая физическая подготовка;район Солнцево;94;9.109
Волейбол;Академический район;110;9.068
Футбол;Красносельский район;147;8.982
Баскетбол;район Чертаново Южное;151;8.938
Баскетбол;район Сокольники;150;8.897
Баскетбол;район Марьина Роща;162;8.862
Баскетбол;Лосиноостровский район;112;8.710
Футбол;район Аэропорт;150;8.681
Футбол;Мещанский район;145;8.680
Футбол;Южнопортовый район;163;8.602
Общая физическая подготовка;район Покровское-Стрешнево;273;8.599
Футбол;район Северное Бутово;118;8.577
Футбол;Рязанский район;148;8.573
Баскетбол;Хорошёвский район;187;8.569
Баскетбол;Останкинский район;170;8.535
Волейбол;район Зябликово;92;8.488
Футбол;район Измайлово;142;8.479
Баскетбол;район Матушкино;65;8.479
Воркаут;Гагаринский район;136;8.474
Баскетбол;Головинский район;189;8.467
Футбол;район Выхино-Жулебино;116;8.462
Баскетбол;район Вешняки;213;8.438
Баскетбол;Тимирязевский район;193;8.369
Футбол;район Матушкино;70;8.358
Баскетбол;район Хамовники;197;8.358
Баскетбол;Войковский район;205;8.314
Футбол;район Сокол;155;8.311
Баскетбол;Бутырский район;192;8.296
Футбол;район Ясенево;85;8.269
Футбол;район Беговой;156;8.257
Баскетбол;район Южное Тушино;110;8.254
Футбол;Даниловский район;137;8.154
Футбол;Алексеевский район;140;8.146
Футбол;Нагорный район;173;8.127
Футбол;район Бирюлёво Восточное;101;8.122
Футбол;район Восточное Измайлово;186;8.080
Баскетбол;район Нагатинский Затон;135;8.031
Футбол;район Северное Измайлово;120;7.989
Баскетбол;район Северное Тушино;93;7.984
Футбол;район Текстильщики;168;7.972
Футбол;район Тёплый Стан;111;7.888
Воркаут;Ломоносовский район;110;7.880
Баскетбол;район Преображенское;154;7.874
Футбол;район Нагатинский Затон;121;7.828
Баскетбол;район Тёплый Стан;132;7.826
Футбол;район Вешняки;187;7.788
Баскетбол;район Перово;178;7.785
Футбол;район Новогиреево;174;7.770
Воркаут;Обручевский район;125;7.754
Баскетбол;район Лефортово;166;7.754
Футбол;район Северное Тушино;90;7.754
Баскетбол;район Ивановское;188;7.688
Футбол;район Замоскворечье;112;7.665
Баскетбол;район Коптево;218;7.653
Футбол;Дмитровский район;113;7.616
Футбол;Донской район;154;7.611
Футбол;Тверской район;137;7.580
Футбол;район Ховрино;110;7.577
Футбол;Останкинский район;147;7.566
Футбол;район Южное Тушино;107;7.512
Воркаут;район Коньково;138;7.453
Волейбол;район Крюково;49;7.434
Футбол;район Тропарёво-Никулино;136;7.340
Футбол;Тимирязевский район;159;7.322
Футбол;район Арбат;137;7.279
Футбол;район Западное Дегунино;122;7.268
Легкая атлетика;район Зябликово;64;7.267
Баскетбол;район Кунцево;119;7.263
Футбол;район Бибирево;146;7.209
Футбол;Бабушкинский район;121;7.167
Баскетбол;район Свиблово;215;7.137
Баскетбол;район Богородское;138;7.136
Футбол;район Проспект Вернадского;156;7.132
Баскетбол;район Москворечье-Сабурово;153;7.101
Баскетбол;район Царицыно;151;7.088
Баскетбол;район Гольяново;129;7.053
Футбол;район Лианозово;145;7.039
Баскетбол;Можайский район;120;7.037
Футбол;Хорошёвский район;144;7.024
Баскетбол;район Северное Медведково;130;7.022
Воркаут;район Зюзино;150;7.019
Футбол;район Марьина Роща;119;6.951
Баскетбол;район Щукино;140;6.918
Волейбол;район Орехово-Борисово Северное;76;6.892
Футбол;район Бирюлёво Западное;79;6.860
Баскетбол;район Раменки;173;6.827
Волейбол;район Братеево;99;6.803
Баскетбол;район Очаково-Матвеевское;162;6.791
Футбол;Пресненский район;137;6.757
Баскетбол;район Марфино;219;6.751
Футбол;район Южное Бутово;57;6.708
Баскетбол;район Дорогомилово;135;6.698
Футбол;район Якиманка;116;6.663
Футбол;район Кунцево;107;6.656
Баскетбол;район Ново-Переделкино;66;6.641
Футбол;Лосиноостровский район;84;6.609
Футбол;район Сокольники;121;6.600
Футбол;Можайский район;111;6.597
Футбол;Бутырский район;154;6.561
Футбол;Головинский район;150;6.538
Баскетбол;район Хорошёво-Мнёвники;145;6.492
Баскетбол;район Фили-Давыдково;129;6.489
Футбол;район Ивановское;159;6.488
Баскетбол;район Филёвский Парк;148;6.458
Волейбол;район Котловка;109;6.432
Общая физическая подготовка;район Некрасовка;89;6.416
Баскетбол;район Савёлки;40;6.373
Волейбол;район Старое Крюково;52;6.355
Футбол;район Южное Медведково;123;6.346
Футбол;район Лефортово;129;6.257
Волейбол;район Северное Бутово;64;6.256
Футбол;район Москворечье-Сабурово;129;6.235
Футбол;район Коптево;169;6.170
Баскетбол;район Крылатское;143;6.127
Волейбол;район Орехово-Борисово Южное;80;6.120
Футбол;Войковский район;168;6.089
Волейбол;район Черёмушки;90;6.054
Баскетбол;район Ростокино;174;6.047
Баскетбол;район Нагатино-Садовники;139;6.037
Футбол;район Гольяново;110;6.007
Баскетбол;район Печатники;164;5.987
Воркаут;район Северное Бутово;73;5.978
Футбол;район Свиблово;160;5.961
Волейбол;Ломоносовский район;74;5.927
Футбол;район Митино;64;5.919
Футбол;район Хамовники;139;5.873
Футбол;район Царицыно;118;5.863
Волейбол;район Марьино;102;5.858
Футбол;район Перово;149;5.850
Воркаут;район Южное Бутово;57;5.849
Футбол;район Преображенское;118;5.803
Футбол;район Очаково-Матвеевское;135;5.795
Баскетбол;Нижегородский район;140;5.779
Волейбол;Гагаринский район;88;5.718
Футбол;район Марфино;185;5.699
Общая физическая подготовка;район Метрогородок;122;5.658
Баскетбол;Ярославский район;83;5.634
Волейбол;район Силино;56;5.622
Футбол;район Богородское;98;5.540
Баскетбол;район Строгино;106;5.535
Воркаут;район Ясенево;72;5.512
Волейбол;район Отрадное;108;5.491
Волейбол;район Зюзино;103;5.489
Легкая атлетика;район Орехово-Борисово Южное;53;5.459
Волейбол;Бескудниковский район;73;5.401
Баскетбол;район Митино;65;5.399
Оздоровительная гимнастика;район Кузьминки;78;5.393
Общая физическая подготовка;поселение Щербинка;160;5.391
Баскетбол;район Соколиная Гора;142;5.377
Футбол;район Щукино;113;5.363
Волейбол;район Бирюлёво Восточное;62;5.323
Футбол;район Крылатское;125;5.321
Футбол;район Ново-Переделкино;56;5.303
Воркаут;район Тёплый Стан;84;5.289
Футбол;район Нагатино-Садовники;121;5.271
Футбол;район Фили-Давыдково;110;5.271
Футбол;район Печатники;138;5.237
Волейбол;район Восточное Измайлово;120;5.233
Баскетбол;район Левобережный;95;5.229
Общая физическая подготовка;район Куркино;74;5.220
Катание на коньках;Академический район;60;5.181
Волейбол;Мещанский район;86;5.141
Футбол;район Хорошёво-Мнёвники;116;5.092
Волейбол;Алтуфьевский район;97;5.073
Футбол;район Левобережный;90;5.053
Футбол;район Раменки;126;5.051
Футбольный фристайл;район Зябликово;27;5.040
Баскетбол;район Покровское-Стрешнево;144;5.036
Воркаут;Нагорный район;99;4.944
Баскетбол;район Новокосино;102;4.931
Волейбол;Красносельский район;84;4.925
Легкая атлетика;район Орехово-Борисово Северное;42;4.888
Волейбол;район Северное Тушино;46;4.863
Волейбол;район Южное Медведково;87;4.826
Футбол;район Строгино;93;4.821
Волейбол;район Новогиреево;86;4.803
Воркаут;район Проспект Вернадского;105;4.796
Футбол;район Ростокино;141;4.793
Волейбол;район Ясенево;51;4.789
Волейбол;Обручевский район;77;4.786
Волейбол;район Восточное Дегунино;84;4.785
Волейбол;район Северное Измайлово;73;4.727
Оздоровительная гимнастика;район Восточное Измайлово;95;4.675
Волейбол;район Матушкино;37;4.658
Волейбол;район Замоскворечье;64;4.599
Воркаут;район Люблино;74;4.564
Волейбол;Бабушкинский район;85;4.516
Футбол;Нижегородский район;112;4.509
Футбол;район Новокосино;85;4.499
Волейбол;Басманный район;75;4.489
Футбол;район Дорогомилово;101;4.488
Футбол;район Северное Медведково;96;4.474
Футбол;район Савёлки;31;4.472
Волейбол;район Люблино;97;4.462
Волейбол;район Проспект Вернадского;85;4.443
Волейбол;район Чертаново Центральное;91;4.406
Легкая атлетика;район Братеево;70;4.376
Оздоровительная гимнастика;район Ивановское;76;4.367
Футбол;район Филёвский Парк;112;4.355
Волейбол;район Измайлово;86;4.311
Баскетбол;район Солнцево;44;4.276
Футбол;Ярославский район;67;4.259
Бег;район Зябликово;26;4.257
Волейбол;район Свиблово;120;4.241
Воркаут;Алтуфьевский район;55;4.223
Волейбол;район Кузьминки;86;4.223
Волейбол;Нагорный район;76;4.222
Баскетбол;район Косино-Ухтомский;101;4.221
Волейбол;район Ивановское;100;4.219
Футбол;район Покровское-Стрешнево;127;4.210
Волейбол;район Южное Бутово;41;4.198
Волейбол;район Сокол;81;4.194
Волейбол;район Чертаново Южное;67;4.130
Волейбол;район Бирюлёво Западное;46;4.123
Волейбол;район Бибирево;91;4.112
Волейбол;район Чертаново Северное;102;4.069
Катание на коньках;район Котловка;64;4.058
Волейбол;Таганский район;78;4.038
Волейбол;район Южное Тушино;61;4.022
Волейбол;район Лианозово;82;3.972
Волейбол;Войковский район;88;3.969
Катание на коньках;район Зябликово;46;3.966
Футбол;поселение Мосрентген;62;3.949
Волейбол;район Аэропорт;72;3.939
Волейбол;район Коньково;90;3.935
Волейбол;Тверской район;71;3.910
Футбольный фристайл;район Орехово-Борисово Южное;27;3.908
Воркаут;район Тропарёво-Никулино;92;3.905
Волейбол;район Вешняки;97;3.900
Хоккей;Таганский район;42;3.895
Волейбол;Лосиноостровский район;51;3.887
Волейбол;район Марьина Роща;71;3.880
Волейбол;Донской район;82;3.876
Волейбол;район Северное Медведково;74;3.873
Легкая атлетика;район Старое Крюково;31;3.873
Волейбол;Алексеевский район;81;3.806
Волейбол;район Якиманка;63;3.801
Волейбол;район Гольяново;69;3.798
Катание на коньках;район Чертаново Центральное;56;3.777
Футбол;район Соколиная Гора;109;3.761
Волейбол;Останкинский район;86;3.746
Катание на коньках;район Братеево;45;3.738
Катание на коньках;Таганский район;47;3.726
Воркаут;район Филёвский Парк;68;3.720
Легкая атлетика;район Чертаново Центральное;53;3.716
Волейбол;район Тропарёво-Никулино;72;3.710
Волейбол;район Хорошёво-Мнёвники;66;3.707
Воркаут;район Фили-Давыдково;80;3.677
Развивающие игры для детей;Пресненский район;34;3.665
Волейбол;район Савёлки;23;3.655
Воркаут;Донской район;101;3.652
Баскетбол;поселение Мосрентген;68;3.640
Воркаут;район Очаково-Матвеевское;93;3.627
Оздоровительная гимнастика;район Люблино;64;3.600
Катание на коньках;Гагаринский район;49;3.596
Волейбол;район Сокольники;64;3.575
Хоккей;район Зябликово;43;3.572
Бег;район Орехово-Борисово Южное;28;3.502
Хоккей;район Чертаново Центральное;51;3.496
Волейбол;Даниловский район;65;3.488
Футбол;район Косино-Ухтомский;88;3.484
Общая физическая подготовка;поселение Внуковское;50;3.482
Катание на коньках;Донской район;50;3.480
Волейбол;район Кунцево;49;3.405
Воркаут;район Зябликово;34;3.393
Хоккей;Академический район;49;3.388
Волейбол;Бутырский район;76;3.363
Оздоровительная гимнастика;район Северное Измайлово;55;3.362
Волейбол;район Перово;69;3.361
Катание на коньках;Алексеевский район;43;3.326
Общая физическая подготовка;район Северный;105;3.320
Футбол;район Некрасовка;36;3.311
Хоккей;район Котловка;54;3.298
Волейбол;Рязанский район;71;3.293
Волейбол;Можайский район;49;3.278
Волейбол;район Коптево;94;3.263
Катание на коньках;Алтуфьевский район;46;3.261
Катание на коньках;район Северное Бутово;37;3.259
Волейбол;район Текстильщики;76;3.254
Оздоровительная гимнастика;Рязанский район;68;3.227
Оздоровительная гимнастика;район Измайлово;55;3.226
Хоккей;район Братеево;42;3.221
Волейбол;район Царицыно;63;3.220
Общая физическая подготовка;поселение Московский;90;3.206
Катание на коньках;район Бирюлёво Западное;31;3.197
Воркаут;район Крюково;23;3.157
Волейбол;Южнопортовый район;66;3.146
Легкая атлетика;Алтуфьевский район;55;3.144
Легкая атлетика;район Марьино;64;3.137
Волейбол;Головинский район;74;3.131
Волейбол;район Западное Дегунино;55;3.122
Волейбол;район Тёплый Стан;58;3.122
Волейбол;район Щукино;70;3.122
Волейбол;район Арбат;70;3.121
Волейбол;район Очаково-Матвеевское;70;3.105
Легкая атлетика;Ломоносовский район;38;3.102
Легкая атлетика;Академический район;36;3.093
Волейбол;район Строгино;45;3.085
Волейбол;район Марфино;94;3.077
Катание на коньках;Ломоносовский район;44;3.069
Оздоровительная гимнастика;район Новогиреево;72;3.068
Легкая атлетика;район Силино;32;3.064
Футбол;район Солнцево;33;3.059
Волейбол;Хорошёвский район;75;3.049
Легкая атлетика;Обручевский район;45;3.038
Бег;район Орехово-Борисово Северное;23;3.036
Легкая атлетика;район Черёмушки;37;3.021
Волейбол;район Преображенское;55;3.015
Волейбол;Дмитровский район;61;3.004
Волейбол;район Фили-Давыдково;58;2.993
Катание на коньках;район Черёмушки;48;2.991
Волейбол;район Беговой;65;2.986
Легкая атлетика;район Отрадное;61;2.978
Волейбол;Савёловский район;64;2.976
Воркаут;район Кузьминки;75;2.963
Воркаут;район Восточное Дегунино;50;2.960
Хоккей;Донской район;40;2.954
Катание на коньках;Бабушкинский район;42;2.952
Волейбол;район Хамовники;73;2.949
Общая физическая подготовка;поселение Сосенское;55;2.947
Оздоровительная гимнастика;район Текстильщики;47;2.942
Волейбол;Пресненский район;62;2.934
Волейбол;район Москворечье-Сабурово;60;2.924
Волейбол;район Новокосино;47;2.914
Волейбол;Тимирязевский район;72;2.911
Катание на коньках;Даниловский район;43;2.905
Легкая атлетика;район Кузьминки;50;2.874
Легкая атлетика;район Чертаново Северное;60;2.866
Оздоровительная гимнастика;район Свиблово;34;2.861
Легкая атлетика;район Чертаново Южное;42;2.860
Легкая атлетика;район Бибирево;54;2.850
Оздоровительная гимнастика;Нагорный район;45;2.846
Легкая атлетика;район Северное Тушино;25;2.832
Катание на коньках;район Бирюлёво Восточное;36;2.820
Воркаут;район Отрадное;50;2.806
Катание на коньках;район Коньково;40;2.802
Катание на коньках;Южнопортовый район;54;2.800
Развивающие игры для детей;район Беговой;46;2.777
Легкая атлетика;район Котловка;40;2.764
Баскетбол;поселение Щербинка;68;2.756
Хоккей;район Коньково;39;2.749
Ритмическая гимнастика;район Ясенево;22;2.741
Хоккей;Гагаринский район;38;2.730
Хоккей;Южнопортовый район;51;2.718
Катание на коньках;район Зюзино;65;2.717
Волейбол;район Богородское;51;2.712
Катание на коньках;район Чертаново Северное;65;2.705
Волейбол;район Крылатское;67;2.698
Легкая атлетика;район Лианозово;49;2.688
Баскетбол;район Некрасовка;30;2.682
Волейбол;район Ховрино;49;2.681
Волейбол;район Выхино-Жулебино;53;2.676
Воркаут;район Чертаново Северное;93;2.660
Воркаут;Бескудниковский район;42;2.658
Хоккей;район Бирюлёво Западное;25;2.652
Настольный теннис;район Котловка;40;2.651
Катание на коньках;Обручевский район;41;2.643
Воркаут;район Новокосино;35;2.639
Волейбол;район Митино;36;2.638
Хоккей;Даниловский район;39;2.634
Волейбол;район Дорогомилово;46;2.630
Волейбол;район Лефортово;60;2.609
Воркаут;Тверской район;42;2.606
Легкая атлетика;район Бирюлёво Восточное;39;2.598
Катание на коньках;район Беговой;40;2.592
Оздоровительная гимнастика;район Выхино-Жулебино;27;2.587
Катание на коньках;район Восточное Дегунино;44;2.579
Катание на коньках;район Чертаново Южное;46;2.576
Катание на коньках;Останкинский район;43;2.573
Баскетбол;район Метрогородок;68;2.569
Легкая атлетика;район Зюзино;52;2.565
Катание на коньках;Нагорный район;53;2.556
Волейбол;Ярославский район;39;2.549
Легкая атлетика;район Ивановское;51;2.547
Хоккей;Алтуфьевский район;31;2.543
Легкая атлетика;район Восточное Дегунино;44;2.542
Футбольный фристайл;район Орехово-Борисово Северное;20;2.535
Легкая атлетика;район Коньково;49;2.523
Легкая атлетика;Бескудниковский район;35;2.521
Развивающие игры для детей;район Арбат;45;2.506
Хоккей;район Чертаново Северное;60;2.506
Катание на коньках;район Бибирево;41;2.504
Катание на коньках;район Марьино;47;2.501
Волейбол;район Ростокино;94;2.483
Легкая атлетика;Лосиноостровский район;31;2.481
Воркаут;поселение Мосрентген;41;2.477
Воркаут;район Лианозово;47;2.473
Легкая атлетика;район Новогиреево;48;2.473
Воркаут;район Марьино;66;2.465
Волейбол;район Раменки;63;2.465
Катание на коньках;Савёловский район;37;2.459
Волейбол;район Солнцево;26;2.455
Катание на коньках;район Отрадное;49;2.447
Настольный теннис;Нагорный район;37;2.436
Легкая атлетика;район Выхино-Жулебино;33;2.434
Воркаут;район Раменки;86;2.429
Легкая атлетика;район Строгино;30;2.426
Воркаут;район Восточное Измайлово;65;2.422
Легкая атлетика;район Южное Тушино;30;2.416
Хоккей;район Бирюлёво Восточное;28;2.414
Легкая атлетика;район Матушкино;29;2.410
Легкая атлетика;район Бирюлёво Западное;30;2.406
Катание на коньках;район Лианозово;42;2.404
Хоккей;район Чертаново Южное;41;2.404
Воркаут;Хорошёвский район;55;2.396
Воркаут;район Ново-Переделкино;30;2.395
Волейбол;район Ново-Переделкино;23;2.387
Оздоровительная гимнастика;район Зюзино;42;2.383
Воркаут;район Матушкино;20;2.378
Хоккей;район Зюзино;57;2.377
Оздоровительная гимнастика;район Перово;52;2.376
Хоккей;Ломоносовский район;38;2.360
Катание на коньках;район Орехово-Борисово Южное;38;2.353
Катание на коньках;район Замоскворечье;35;2.335
Катание на коньках;Красносельский район;44;2.333
Воркаут;район Преображенское;48;2.329
Хоккей;Обручевский район;37;2.326
Оздоровительная гимнастика;район Нагатино-Садовники;27;2.326
Футбол;район Метрогородок;59;2.324
Воркаут;район Силино;29;2.323
Воркаут;район Солнцево;25;2.293
